transaction_id,amount,hour_of_day,merchant_category,card_present,distance_from_home_km,num_transactions_last_24h,avg_amount_last_30d,account_age_days,is_foreign_transaction,is_fraud
33553,259.16,12,travel,1,3.8,2,56.29,615,0,0
9427,93.47,11,gas_station,1,5.2,3,144.52,2368,0,0
199,118.83,15,dining,0,31.2,4,64.48,2533,0,0
12447,132.72,16,grocery,1,1.1,0,18.67,3419,0,0
39489,120.14,22,online_retail,0,11.3,2,153.73,1172,0,0
42724,68.5,9,dining,1,9.3,1,98.58,1230,0,0
10822,39.96,14,online_retail,0,1.0,3,126.99,1013,0,0
49498,257.13,4,grocery,0,162.5,1,7.03,678,1,1
4144,267.48,10,dining,1,0.1,5,189.34,1844,0,0
36958,172.07,11,utilities,0,9.7,1,38.1,859,0,0
43106,91.61,10,online_retail,1,12.2,3,160.9,3095,0,0
38695,68.73,13,travel,0,5.8,1,77.25,176,0,0
6188,112.74,12,utilities,1,30.4,3,86.75,1861,0,0
1414,120.06,18,travel,0,47.4,1,75.26,3974,0,0
18471,18.48,19,electronics,1,9.5,1,88.62,2132,0,0
29282,228.13,18,electronics,1,3.6,2,154.29,1519,0,0
15177,39.21,16,gas_station,1,0.1,2,153.33,222,0,0
34304,16.33,11,electronics,0,0.4,4,84.94,1785,0,0
12609,102.44,16,grocery,1,83.5,3,90.98,873,0,0
12144,99.62,15,grocery,0,14.4,0,116.16,1208,0,0
6113,131.24,11,electronics,0,5.6,0,22.5,2608,0,0
15908,36.93,10,travel,1,3.5,3,144.49,3114,0,0
821,147.56,14,dining,0,32.1,0,70.47,3106,0,0
15118,4.65,9,entertainment,1,1.1,1,32.39,1010,0,0
13466,36.77,19,dining,1,0.2,1,147.51,1064,0,0
26497,130.96,11,travel,1,21.4,3,46.26,1996,0,0
42111,86.36,23,entertainment,1,4.1,3,130.93,2162,0,0
30188,144.83,13,grocery,1,0.9,4,118.03,2708,0,0
37237,70.23,17,grocery,1,6.2,2,131.81,254,0,0
33109,77.17,12,online_retail,1,16.0,1,141.24,1984,0,0
36480,119.56,22,online_retail,0,7.8,4,117.67,2038,0,0
24148,22.82,21,gas_station,1,36.3,1,108.41,320,0,0
5503,31.79,14,online_retail,1,19.0,1,85.15,2805,0,0
3918,23.7,13,travel,1,31.2,0,104.87,954,0,0
38478,22.57,15,travel,1,5.3,4,52.45,987,0,0
21123,210.15,10,gas_station,1,11.4,2,38.28,1054,0,0
49717,122.13,1,travel,0,262.2,7,67.5,1777,1,1
42294,76.39,6,grocery,1,0.7,2,57.99,737,0,0
47609,119.26,15,online_retail,1,3.4,0,15.24,3808,0,0
11076,132.14,15,electronics,1,28.3,3,75.45,1196,0,0
41514,135.13,11,online_retail,1,2.9,2,117.7,1148,0,0
22062,44.04,18,entertainment,0,9.3,4,187.66,1352,0,0
9413,127.04,14,grocery,1,0.7,3,122.45,3384,0,0
38340,216.56,10,entertainment,1,5.2,4,78.15,541,0,0
30263,20.05,11,gas_station,1,1.5,0,5.0,1848,0,0
41252,173.83,8,travel,0,36.2,4,118.19,2056,0,0
14644,107.68,22,electronics,1,1.8,4,133.36,3749,1,0
26335,68.56,10,grocery,1,1.5,0,76.81,3006,0,0
28102,138.17,12,travel,0,25.0,0,35.07,3616,0,0
17523,98.17,8,entertainment,1,18.3,2,5.0,1327,0,0
24712,169.09,15,online_retail,0,1.9,4,174.74,2096,0,0
40485,176.89,15,grocery,0,9.9,4,92.38,3279,0,0
3850,138.07,7,grocery,0,2.6,1,76.39,431,0,0
40040,45.15,12,grocery,1,24.7,6,100.0,1122,0,0
15267,111.07,2,online_retail,0,10.2,3,122.32,532,0,0
49146,177.51,12,online_retail,0,330.5,6,58.44,1980,0,1
30001,106.16,12,gas_station,1,21.8,2,87.81,1457,0,0
45926,40.27,12,gas_station,1,1.9,6,136.12,3403,0,0
43824,163.84,16,utilities,1,4.9,1,118.27,1796,0,0
17240,56.4,17,entertainment,1,2.1,2,89.84,3164,0,0
4892,139.68,15,online_retail,0,11.9,2,85.16,351,0,0
725,72.4,12,grocery,1,17.3,1,123.08,1469,0,0
22949,178.46,11,online_retail,0,18.5,3,52.31,171,0,0
34657,167.04,16,online_retail,0,22.3,0,79.2,2571,0,0
37213,84.69,19,utilities,1,35.7,0,78.82,1962,0,0
20304,231.47,14,online_retail,1,14.8,2,93.23,2110,0,0
15269,281.99,7,travel,0,15.3,2,71.86,2113,0,0
22367,61.26,14,gas_station,1,2.5,4,80.85,3547,0,0
42684,166.62,21,dining,0,31.2,4,81.13,259,0,0
46734,324.14,16,travel,1,19.3,2,52.16,1597,0,0
11732,69.58,9,grocery,1,26.5,1,69.01,2951,0,0
18619,30.86,12,grocery,1,55.2,1,128.16,3395,0,0
48492,132.46,12,entertainment,1,2.3,1,114.8,1696,0,0
26803,113.02,21,travel,1,19.6,1,92.09,1104,0,0
44305,329.98,8,online_retail,1,3.5,4,61.0,573,0,0
47522,45.84,11,gas_station,1,19.9,1,137.53,2513,0,0
32207,113.67,12,online_retail,1,3.7,3,98.91,1006,0,0
2530,107.92,19,grocery,1,1.0,4,90.59,3837,0,0
17746,68.59,8,grocery,1,11.6,5,127.16,3823,0,0
8270,136.08,13,gas_station,1,35.3,2,113.39,920,0,0
15079,14.34,11,gas_station,1,52.0,1,82.71,1498,0,0
13624,78.35,10,dining,1,9.7,0,84.96,1030,0,0
30638,149.95,12,online_retail,1,30.2,1,83.44,2842,0,0
30440,99.45,15,grocery,0,5.4,2,69.13,2417,0,0
36056,44.98,6,dining,0,32.4,2,74.65,1252,0,0
42651,58.35,13,grocery,1,13.5,2,86.23,3836,0,0
36803,68.93,21,online_retail,1,12.1,0,124.49,1974,0,0
48224,25.71,7,gas_station,0,6.4,3,82.15,2468,0,0
29226,33.11,12,grocery,1,14.5,1,94.47,2474,0,0
5633,224.55,19,online_retail,1,9.1,1,135.89,2935,0,0
5987,95.65,13,travel,1,3.6,2,87.05,690,0,0
48063,211.37,5,electronics,1,5.3,0,107.47,433,0,0
1812,166.68,8,online_retail,1,1.9,2,62.17,3296,0,0
27578,204.76,10,gas_station,0,0.1,2,76.05,920,0,0
16823,18.3,2,travel,1,29.0,4,112.23,1928,0,0
3928,169.12,7,grocery,0,12.9,4,32.93,611,0,0
37286,132.88,7,entertainment,0,16.8,3,59.93,2137,0,0
25045,70.69,17,online_retail,1,17.3,1,115.38,1339,0,0
15727,101.17,17,gas_station,1,7.7,4,72.44,3703,0,0
29600,121.92,12,online_retail,1,1.7,1,184.84,2885,0,0
10430,16.67,13,grocery,1,2.6,0,69.39,1355,0,0
25768,59.72,11,electronics,1,18.2,3,174.96,3225,0,0
29103,322.05,10,grocery,1,9.4,0,89.98,1359,0,0
36537,152.05,15,gas_station,1,13.5,1,89.77,854,0,0
39328,237.99,8,utilities,1,20.1,2,78.91,1524,1,0
35539,71.24,19,online_retail,0,27.3,3,30.78,2478,0,0
28075,171.35,10,online_retail,1,10.0,3,97.94,3318,1,0
17840,153.04,12,online_retail,0,4.9,0,103.71,1344,0,0
27802,72.54,18,electronics,0,21.3,3,59.86,221,0,0
7682,256.91,21,gas_station,1,13.0,2,117.6,3011,0,0
24279,146.11,12,dining,0,14.2,2,34.76,2147,0,0
33070,193.45,14,dining,0,17.9,1,45.45,3165,0,0
35557,267.91,13,online_retail,1,9.0,3,128.72,464,0,0
37189,348.53,19,dining,1,17.4,4,60.54,2301,0,0
