loan_id,credit_score,annual_income,dti_ratio,loan_amount,loan_term_months,employment_years,delinq_2yrs,open_accounts,revolving_utilization_pct,home_ownership,purpose,region,origination_year,is_default,risk_grade
L100000,680,89300.0,17.7,5300.0,36,2.6,0,6,78.2,MORTGAGE,credit_card,Midwest,2025,1,C (Prime)
L100001,699,41400.0,14.8,7500.0,36,2.5,2,5,52.6,RENT,credit_card,West,2022,0,C (Prime)
L100002,662,48400.0,2.6,24800.0,60,3.8,0,4,38.6,MORTGAGE,debt_consolidation,South,2025,0,C (Prime)
L100003,622,57400.0,14.5,15300.0,60,3.3,1,8,15.6,MORTGAGE,credit_card,South,2023,1,D (Near-Prime)
L100004,650,56500.0,22.6,7500.0,60,3.5,1,10,39.0,MORTGAGE,other,Northeast,2023,0,D (Near-Prime)
L100005,616,50300.0,17.9,8400.0,60,7.9,0,11,80.8,RENT,debt_consolidation,South,2025,1,D (Near-Prime)
L100006,684,74900.0,20.9,3500.0,60,5.0,0,3,21.6,RENT,medical,South,2024,0,C (Prime)
L100007,767,97100.0,28.7,7700.0,60,14.7,0,12,14.8,RENT,medical,Northeast,2023,0,A (Super-Prime)
L100008,648,82400.0,13.7,7400.0,36,7.7,0,13,10.9,OWN,credit_card,Midwest,2024,0,D (Near-Prime)
L100009,640,42700.0,8.0,13600.0,36,10.4,0,11,31.9,RENT,debt_consolidation,South,2024,0,D (Near-Prime)
L100010,712,21800.0,5.0,12800.0,36,1.0,0,8,64.6,MORTGAGE,auto,South,2024,1,B (Prime+)
L100011,703,57100.0,9.4,7800.0,60,1.4,0,8,5.2,OWN,debt_consolidation,South,2024,0,B (Prime+)
L100012,687,15000.0,12.4,25500.0,60,3.6,0,8,59.0,RENT,debt_consolidation,South,2022,0,C (Prime)
L100013,620,75200.0,18.1,10300.0,36,2.8,0,3,26.9,MORTGAGE,debt_consolidation,West,2024,1,D (Near-Prime)
L100014,678,73300.0,19.4,24800.0,36,4.0,1,9,59.5,MORTGAGE,debt_consolidation,Midwest,2024,0,C (Prime)
L100015,725,29800.0,11.1,5300.0,36,1.9,3,11,48.9,MORTGAGE,medical,West,2023,0,B (Prime+)
L100016,593,71900.0,15.3,11400.0,60,7.3,0,8,12.9,MORTGAGE,other,Northeast,2022,0,D (Near-Prime)
L100017,650,39100.0,18.0,12200.0,36,4.1,0,10,9.6,MORTGAGE,credit_card,South,2024,0,D (Near-Prime)
L100018,556,100500.0,5.5,7900.0,36,0.3,0,5,40.3,RENT,credit_card,West,2023,1,E (Subprime)
L100019,596,37200.0,9.4,2800.0,60,2.7,0,13,34.2,MORTGAGE,auto,South,2024,1,D (Near-Prime)
L100020,560,36000.0,2.6,6200.0,36,2.5,0,6,26.7,RENT,debt_consolidation,Midwest,2024,1,E (Subprime)
L100021,665,39300.0,26.9,14600.0,60,2.2,1,8,5.6,RENT,credit_card,South,2023,1,C (Prime)
L100022,598,60800.0,22.0,3400.0,60,2.5,0,9,22.8,MORTGAGE,small_business,West,2022,0,D (Near-Prime)
L100023,698,32500.0,20.0,7400.0,36,1.0,0,15,41.4,MORTGAGE,debt_consolidation,West,2023,1,C (Prime)
L100024,690,163200.0,13.7,7400.0,60,1.8,0,8,54.5,RENT,debt_consolidation,Midwest,2023,0,C (Prime)
L100025,668,45100.0,6.5,4100.0,36,0.8,1,7,33.2,MORTGAGE,credit_card,South,2024,1,C (Prime)
L100026,516,127600.0,11.5,5200.0,60,1.3,0,7,63.4,RENT,debt_consolidation,Midwest,2022,0,E (Subprime)
L100027,645,47100.0,22.1,8500.0,36,2.5,1,5,52.8,OWN,medical,South,2025,0,D (Near-Prime)
L100028,677,46300.0,19.8,5200.0,36,29.4,0,10,50.5,MORTGAGE,home_improvement,South,2024,0,C (Prime)
L100029,687,38200.0,4.9,9900.0,36,7.6,2,12,74.8,OWN,medical,South,2023,1,C (Prime)
L100030,581,37300.0,5.5,7100.0,36,2.5,0,10,10.4,MORTGAGE,home_improvement,Midwest,2023,0,D (Near-Prime)
L100031,649,67100.0,28.3,6000.0,60,1.1,1,10,33.4,MORTGAGE,small_business,South,2023,0,D (Near-Prime)
L100032,616,97300.0,32.0,11000.0,60,1.2,0,14,11.1,OWN,debt_consolidation,South,2023,0,D (Near-Prime)
L100033,627,57000.0,15.0,2000.0,36,5.3,0,9,46.0,OWN,debt_consolidation,Midwest,2025,0,D (Near-Prime)
L100034,749,35000.0,14.0,5200.0,36,0.6,0,10,33.2,MORTGAGE,credit_card,Northeast,2024,0,B (Prime+)
L100035,628,60100.0,8.6,5600.0,36,0.7,0,10,42.4,OWN,debt_consolidation,South,2025,1,D (Near-Prime)
L100036,678,36800.0,8.9,6400.0,36,0.2,0,10,29.5,RENT,home_improvement,West,2023,0,C (Prime)
L100037,737,15000.0,21.8,16500.0,60,4.3,0,8,65.7,RENT,medical,Midwest,2025,1,B (Prime+)
L100038,642,57500.0,15.4,7100.0,36,6.9,0,15,25.0,RENT,home_improvement,West,2025,0,D (Near-Prime)
L100039,673,23000.0,29.4,8900.0,60,1.9,0,3,45.7,MORTGAGE,other,Midwest,2023,1,C (Prime)
L100040,687,39700.0,11.9,1400.0,36,12.4,0,8,15.3,MORTGAGE,debt_consolidation,Northeast,2023,0,C (Prime)
L100041,684,55500.0,30.1,14900.0,60,0.8,0,7,63.5,OWN,credit_card,Midwest,2023,0,C (Prime)
L100042,600,44500.0,23.7,8300.0,60,15.8,0,8,64.5,MORTGAGE,credit_card,Midwest,2025,1,D (Near-Prime)
L100043,685,47600.0,13.8,12800.0,36,12.2,1,4,45.2,RENT,debt_consolidation,Northeast,2024,0,C (Prime)
L100044,768,115400.0,10.2,19900.0,60,1.5,0,10,25.3,MORTGAGE,auto,Northeast,2024,0,A (Super-Prime)
L100045,579,86400.0,13.5,11400.0,36,0.1,2,10,37.1,RENT,auto,South,2023,0,E (Subprime)
L100046,736,113700.0,8.0,7300.0,36,5.4,1,9,42.8,MORTGAGE,credit_card,South,2023,1,B (Prime+)
L100047,688,60100.0,24.7,3400.0,60,4.7,0,7,49.9,MORTGAGE,credit_card,Midwest,2025,1,C (Prime)
L100048,638,60500.0,9.1,29700.0,36,5.4,1,12,26.0,RENT,debt_consolidation,Midwest,2023,0,D (Near-Prime)
L100049,810,128500.0,13.6,9500.0,36,4.5,0,5,15.5,RENT,debt_consolidation,South,2025,0,A (Super-Prime)
L100050,730,39800.0,13.3,4200.0,60,1.2,0,6,38.2,RENT,debt_consolidation,Midwest,2023,0,B (Prime+)
L100051,602,63700.0,6.8,18200.0,60,2.3,1,7,40.2,MORTGAGE,auto,Midwest,2025,0,D (Near-Prime)
L100052,685,57800.0,11.9,6400.0,36,6.7,1,6,55.2,MORTGAGE,home_improvement,South,2024,0,C (Prime)
L100053,717,62500.0,1.6,4800.0,36,8.0,0,2,41.4,RENT,auto,South,2022,1,B (Prime+)
L100054,668,72500.0,18.6,10500.0,60,4.3,0,11,29.4,RENT,home_improvement,Northeast,2024,0,C (Prime)
L100055,724,57400.0,14.7,5900.0,60,0.0,1,3,20.6,MORTGAGE,medical,South,2025,0,B (Prime+)
L100056,676,80400.0,17.5,3300.0,36,3.2,1,13,32.9,MORTGAGE,home_improvement,South,2025,0,C (Prime)
L100057,723,35800.0,23.2,11900.0,36,5.9,1,4,37.2,RENT,debt_consolidation,Northeast,2024,0,B (Prime+)
L100058,774,69000.0,6.0,11100.0,36,7.1,0,3,67.3,MORTGAGE,credit_card,Northeast,2025,0,A (Super-Prime)
L100059,636,32500.0,21.0,12500.0,36,0.8,0,8,32.9,RENT,other,South,2024,0,D (Near-Prime)
L100060,693,91600.0,4.7,10600.0,60,2.0,1,10,44.3,OWN,home_improvement,South,2023,1,C (Prime)
L100061,650,87300.0,12.2,5600.0,60,1.6,0,4,53.3,MORTGAGE,other,South,2022,0,D (Near-Prime)
L100062,688,48800.0,8.0,7100.0,36,0.3,0,8,32.5,RENT,debt_consolidation,South,2023,0,C (Prime)
L100063,603,42100.0,21.4,13600.0,36,2.7,0,7,89.5,OWN,debt_consolidation,South,2023,0,D (Near-Prime)
L100064,642,53300.0,10.2,9900.0,36,1.8,0,10,39.4,MORTGAGE,debt_consolidation,Northeast,2024,0,D (Near-Prime)
L100065,667,70700.0,13.2,11900.0,60,3.8,0,6,15.2,MORTGAGE,credit_card,Northeast,2025,0,C (Prime)
L100066,738,25800.0,23.7,5300.0,36,10.8,0,10,34.5,MORTGAGE,debt_consolidation,Midwest,2022,0,B (Prime+)
L100067,754,33000.0,32.7,5400.0,36,0.8,0,6,7.4,RENT,credit_card,West,2024,0,A (Super-Prime)
L100068,594,85300.0,10.8,10900.0,36,10.5,0,6,24.3,MORTGAGE,debt_consolidation,Midwest,2025,0,D (Near-Prime)
L100069,628,48500.0,9.6,6100.0,60,2.3,0,3,26.2,MORTGAGE,home_improvement,Midwest,2024,0,D (Near-Prime)
L100070,722,28800.0,7.6,15000.0,36,3.3,0,13,47.4,MORTGAGE,debt_consolidation,South,2025,1,B (Prime+)
L100071,550,18200.0,24.0,31700.0,60,3.7,0,7,57.7,RENT,debt_consolidation,Northeast,2024,0,E (Subprime)
L100072,650,43400.0,14.6,14600.0,60,16.3,0,4,54.9,MORTGAGE,debt_consolidation,West,2023,0,D (Near-Prime)
L100073,674,22900.0,12.9,8800.0,60,5.3,1,14,31.5,MORTGAGE,debt_consolidation,Midwest,2024,1,C (Prime)
L100074,762,57200.0,19.7,21300.0,36,4.6,0,7,45.0,RENT,debt_consolidation,Midwest,2024,1,A (Super-Prime)
L100075,725,51600.0,2.6,24400.0,60,0.8,0,13,11.7,MORTGAGE,credit_card,South,2022,0,B (Prime+)
L100076,659,131600.0,4.3,12200.0,36,9.6,0,9,30.6,MORTGAGE,debt_consolidation,Midwest,2023,0,C (Prime)
L100077,656,29200.0,15.0,22200.0,36,5.1,0,4,18.4,RENT,medical,South,2022,0,C (Prime)
L100078,664,73100.0,9.8,13800.0,60,2.4,2,9,36.6,MORTGAGE,auto,Midwest,2022,0,C (Prime)
L100079,779,29900.0,14.7,6500.0,36,5.3,1,6,30.2,MORTGAGE,credit_card,Northeast,2024,0,A (Super-Prime)
L100080,652,32400.0,8.9,20500.0,60,14.1,1,10,6.9,MORTGAGE,home_improvement,Midwest,2023,0,C (Prime)
L100081,660,48400.0,14.1,14300.0,60,5.5,1,8,39.4,RENT,credit_card,South,2023,0,C (Prime)
L100082,703,35500.0,15.6,3600.0,36,1.3,0,15,59.7,MORTGAGE,credit_card,South,2023,0,B (Prime+)
L100083,672,129900.0,25.9,6000.0,36,2.9,0,7,57.1,MORTGAGE,debt_consolidation,West,2025,0,C (Prime)
L100084,667,52100.0,10.4,3500.0,36,0.8,0,9,6.4,MORTGAGE,debt_consolidation,Northeast,2024,0,C (Prime)
L100085,608,37100.0,16.4,4600.0,60,0.1,0,9,42.1,OWN,medical,South,2025,0,D (Near-Prime)
L100086,679,164700.0,5.0,17600.0,36,6.4,0,13,78.8,RENT,debt_consolidation,South,2024,1,C (Prime)
L100087,651,36300.0,2.2,3700.0,60,1.5,1,12,46.1,MORTGAGE,debt_consolidation,Midwest,2025,1,C (Prime)
L100088,756,44500.0,26.2,8800.0,60,1.7,0,7,13.5,MORTGAGE,credit_card,South,2023,1,A (Super-Prime)
L100089,722,48200.0,18.1,5800.0,60,2.9,0,6,39.2,MORTGAGE,auto,South,2023,0,B (Prime+)
L100090,678,36500.0,10.7,18200.0,36,15.4,0,5,41.3,RENT,debt_consolidation,South,2022,0,C (Prime)
L100091,723,71500.0,19.2,20300.0,60,5.8,1,7,46.9,MORTGAGE,small_business,West,2025,1,B (Prime+)
L100092,658,95200.0,5.9,14300.0,36,18.8,0,6,88.4,MORTGAGE,other,Northeast,2022,0,C (Prime)
L100093,748,28400.0,11.8,18800.0,36,11.8,0,9,70.5,RENT,credit_card,Midwest,2023,0,B (Prime+)
L100094,680,42000.0,13.8,13300.0,36,3.7,0,12,4.8,MORTGAGE,home_improvement,West,2023,0,C (Prime)
L100095,718,44300.0,22.5,17200.0,36,7.4,0,9,61.4,MORTGAGE,debt_consolidation,South,2024,0,B (Prime+)
L100096,596,26900.0,26.6,6000.0,36,2.5,0,12,52.5,MORTGAGE,home_improvement,West,2025,1,D (Near-Prime)
L100097,703,28000.0,15.0,13400.0,36,1.2,0,11,34.6,RENT,credit_card,South,2023,0,B (Prime+)
L100098,570,44300.0,8.7,11500.0,60,5.2,0,12,50.7,RENT,credit_card,South,2024,0,E (Subprime)
L100099,548,34200.0,13.7,11000.0,36,5.5,0,12,25.2,RENT,auto,Midwest,2023,0,E (Subprime)
L100100,660,61700.0,11.4,17600.0,36,1.5,0,11,9.7,MORTGAGE,credit_card,Northeast,2024,0,C (Prime)
L100101,622,78900.0,4.0,5200.0,60,1.0,0,6,13.9,MORTGAGE,debt_consolidation,Midwest,2025,0,D (Near-Prime)
L100102,691,58000.0,7.7,20100.0,36,2.2,0,8,64.6,RENT,debt_consolidation,South,2025,0,C (Prime)
L100103,826,60800.0,17.4,9700.0,36,4.2,0,7,45.1,RENT,debt_consolidation,Northeast,2022,0,A (Super-Prime)
L100104,626,33900.0,33.0,7200.0,60,1.9,0,5,25.6,OWN,medical,South,2024,0,D (Near-Prime)
L100105,639,39500.0,15.7,4300.0,36,1.1,0,10,54.4,RENT,credit_card,South,2025,1,D (Near-Prime)
L100106,693,63900.0,9.5,9700.0,36,1.5,0,7,54.4,OWN,credit_card,South,2025,0,C (Prime)
L100107,712,69800.0,21.2,5700.0,60,0.6,0,8,51.5,MORTGAGE,credit_card,Midwest,2025,1,B (Prime+)
L100108,669,50600.0,14.8,8100.0,36,0.9,0,8,24.6,RENT,debt_consolidation,Midwest,2025,0,C (Prime)
L100109,667,68800.0,25.6,16100.0,60,7.1,0,13,9.0,RENT,debt_consolidation,Northeast,2025,1,C (Prime)
L100110,726,46800.0,12.5,6800.0,36,21.7,0,6,31.5,RENT,other,West,2024,0,B (Prime+)
L100111,714,30000.0,11.6,10000.0,60,12.0,0,13,38.0,RENT,home_improvement,Midwest,2023,0,B (Prime+)
L100112,613,61400.0,22.6,7000.0,60,8.1,0,11,26.7,OWN,home_improvement,South,2023,0,D (Near-Prime)
L100113,675,43000.0,22.0,4600.0,60,8.6,0,9,21.2,RENT,credit_card,Northeast,2022,1,C (Prime)
L100114,682,23200.0,24.1,8000.0,36,9.5,0,8,18.7,MORTGAGE,home_improvement,South,2022,0,C (Prime)
L100115,611,79300.0,12.7,15200.0,36,2.1,0,5,39.8,MORTGAGE,small_business,Midwest,2022,0,D (Near-Prime)
L100116,697,63500.0,12.2,7900.0,36,0.4,0,11,57.9,RENT,other,Midwest,2024,1,C (Prime)
L100117,624,75000.0,23.0,6200.0,36,9.9,0,9,13.2,MORTGAGE,home_improvement,South,2022,0,D (Near-Prime)
L100118,743,42000.0,19.4,4800.0,36,10.4,1,5,39.6,MORTGAGE,debt_consolidation,Northeast,2025,0,B (Prime+)
L100119,693,108100.0,4.7,12600.0,60,5.1,0,13,27.6,MORTGAGE,small_business,Northeast,2024,0,C (Prime)
L100120,686,66500.0,3.2,11500.0,60,4.7,1,7,9.0,MORTGAGE,medical,Midwest,2023,0,C (Prime)
L100121,642,84600.0,11.9,14600.0,36,1.4,0,6,62.1,OWN,debt_consolidation,South,2024,0,D (Near-Prime)
L100122,672,38500.0,12.5,6600.0,60,4.8,1,8,59.0,MORTGAGE,debt_consolidation,Northeast,2025,1,C (Prime)
L100123,550,45400.0,5.8,5900.0,60,4.2,0,6,68.6,RENT,medical,Northeast,2023,0,E (Subprime)
L100124,606,98100.0,34.0,13700.0,60,1.2,1,7,27.3,RENT,debt_consolidation,Northeast,2025,0,D (Near-Prime)
L100125,704,52100.0,8.4,8800.0,60,0.8,0,14,96.0,RENT,credit_card,Northeast,2024,1,B (Prime+)
L100126,542,53400.0,22.7,6700.0,36,2.0,0,11,59.1,RENT,other,West,2024,1,E (Subprime)
L100127,735,108400.0,7.8,10500.0,36,1.1,1,6,10.9,RENT,auto,West,2022,0,B (Prime+)
L100128,567,92200.0,13.9,14800.0,60,0.4,0,11,23.7,RENT,auto,South,2024,0,E (Subprime)
L100129,729,59000.0,7.6,2600.0,36,5.2,0,7,36.9,RENT,home_improvement,West,2025,0,B (Prime+)
L100130,625,132500.0,0.4,8700.0,60,12.0,0,7,22.1,RENT,credit_card,Midwest,2024,0,D (Near-Prime)
L100131,731,25800.0,15.0,3800.0,36,2.0,0,11,41.7,OWN,small_business,South,2022,0,B (Prime+)
L100132,689,51200.0,10.8,8000.0,36,9.3,0,8,24.7,MORTGAGE,other,West,2024,1,C (Prime)
L100133,580,40500.0,8.4,10300.0,36,4.3,0,9,57.3,RENT,small_business,Midwest,2022,1,E (Subprime)
L100134,761,107500.0,17.1,5400.0,36,5.8,0,10,6.0,MORTGAGE,debt_consolidation,Northeast,2025,0,A (Super-Prime)
L100135,774,113100.0,31.7,6200.0,36,2.1,0,5,29.6,RENT,home_improvement,South,2022,0,A (Super-Prime)
L100136,676,42000.0,3.5,7000.0,36,3.2,1,6,39.4,MORTGAGE,credit_card,South,2024,1,C (Prime)
L100137,662,56800.0,9.2,11500.0,36,1.5,0,5,19.2,MORTGAGE,small_business,South,2024,0,C (Prime)
L100138,670,83200.0,25.9,15600.0,36,4.4,0,3,46.3,MORTGAGE,medical,Northeast,2024,1,C (Prime)
L100139,617,68100.0,6.6,18100.0,60,0.7,0,6,32.0,RENT,debt_consolidation,Northeast,2025,0,D (Near-Prime)
L100140,751,60200.0,32.0,5900.0,60,0.2,1,9,38.2,OWN,home_improvement,South,2023,0,A (Super-Prime)
L100141,645,85600.0,11.8,4100.0,36,2.6,0,7,74.0,RENT,medical,Midwest,2024,0,D (Near-Prime)
L100142,677,135100.0,14.3,5900.0,36,6.8,0,9,61.1,MORTGAGE,small_business,Northeast,2025,0,C (Prime)
L100143,628,56200.0,15.5,13600.0,60,1.6,1,4,3.4,MORTGAGE,auto,West,2024,0,D (Near-Prime)
L100144,639,31200.0,15.6,8400.0,60,15.2,0,11,57.4,RENT,credit_card,Midwest,2023,0,D (Near-Prime)
L100145,597,50400.0,16.8,6100.0,36,0.9,0,4,85.7,MORTGAGE,debt_consolidation,Midwest,2024,0,D (Near-Prime)
L100146,762,52100.0,6.9,12300.0,60,2.9,0,7,9.2,MORTGAGE,auto,Northeast,2023,0,A (Super-Prime)
L100147,670,44300.0,11.6,9900.0,60,0.1,1,6,29.2,MORTGAGE,auto,Midwest,2024,0,C (Prime)
L100148,743,74300.0,9.8,16200.0,36,2.4,0,11,10.8,MORTGAGE,other,West,2022,0,B (Prime+)
L100149,681,75500.0,9.2,5200.0,60,5.8,0,8,25.5,MORTGAGE,home_improvement,West,2024,0,C (Prime)
L100150,635,82100.0,4.8,26600.0,60,2.8,0,14,89.4,RENT,auto,Midwest,2024,1,D (Near-Prime)
L100151,659,66800.0,19.6,8500.0,60,2.1,0,10,69.7,RENT,home_improvement,West,2024,1,C (Prime)
L100152,644,60300.0,12.6,8600.0,60,4.7,1,7,22.1,OWN,debt_consolidation,Midwest,2025,1,D (Near-Prime)
L100153,681,32600.0,4.4,7200.0,36,3.2,0,2,56.5,MORTGAGE,small_business,Midwest,2024,0,C (Prime)
L100154,656,45100.0,29.7,9300.0,60,0.6,0,14,66.1,MORTGAGE,debt_consolidation,Northeast,2022,1,C (Prime)
L100155,661,35200.0,33.6,11500.0,36,1.5,0,5,5.7,OWN,credit_card,South,2022,0,C (Prime)
L100156,590,62000.0,20.6,10600.0,36,17.4,0,7,22.1,MORTGAGE,auto,South,2025,1,D (Near-Prime)
L100157,628,50300.0,12.2,17800.0,36,11.4,0,12,11.5,OWN,credit_card,West,2025,0,D (Near-Prime)
L100158,788,52200.0,7.5,11500.0,36,7.4,0,8,20.9,MORTGAGE,credit_card,South,2023,0,A (Super-Prime)
L100159,636,68400.0,16.1,9800.0,36,4.8,1,8,4.0,RENT,credit_card,South,2022,0,D (Near-Prime)
L100160,611,46200.0,19.7,6300.0,36,5.3,1,9,31.1,MORTGAGE,small_business,South,2024,1,D (Near-Prime)
L100161,702,88600.0,23.7,7400.0,60,2.0,2,9,41.2,RENT,debt_consolidation,Northeast,2022,0,B (Prime+)
L100162,771,87700.0,10.1,7600.0,36,0.8,0,12,36.4,MORTGAGE,debt_consolidation,South,2023,0,A (Super-Prime)
L100163,585,33900.0,8.8,11900.0,36,18.6,0,5,50.5,MORTGAGE,debt_consolidation,South,2024,0,D (Near-Prime)
L100164,666,99500.0,4.5,15700.0,36,8.8,0,3,18.8,MORTGAGE,medical,Midwest,2024,0,C (Prime)
L100165,639,45300.0,28.0,18600.0,60,6.3,2,7,17.7,RENT,debt_consolidation,West,2022,0,D (Near-Prime)
L100166,566,37600.0,3.2,22200.0,60,1.3,0,7,44.1,MORTGAGE,credit_card,West,2022,1,E (Subprime)
L100167,728,45800.0,14.5,7800.0,36,1.5,0,3,28.3,RENT,debt_consolidation,West,2023,0,B (Prime+)
L100168,678,29000.0,13.6,9900.0,36,9.5,0,9,15.8,MORTGAGE,debt_consolidation,Northeast,2024,0,C (Prime)
L100169,685,62600.0,1.3,9700.0,36,1.2,0,6,46.7,OWN,credit_card,Northeast,2025,0,C (Prime)
L100170,631,94500.0,19.3,6200.0,36,3.3,0,8,22.1,OWN,debt_consolidation,Midwest,2023,0,D (Near-Prime)
L100171,710,25800.0,17.2,12800.0,36,1.9,0,6,32.1,RENT,medical,South,2023,1,B (Prime+)
L100172,645,65200.0,2.8,11400.0,36,12.4,0,8,19.7,OWN,debt_consolidation,Midwest,2024,0,D (Near-Prime)
