loan_id,credit_score,annual_income,dti_ratio,loan_amount,loan_term_months,employment_years,delinq_2yrs,open_accounts,revolving_utilization_pct,home_ownership,purpose,region,origination_year,is_default,risk_grade,predicted_default_prob,predicted_risk_tier
L100000,680,89300.0,17.7,5300.0,36,2.6,0,6,78.2,MORTGAGE,credit_card,Midwest,2025,1,C (Prime),0.5096,Moderate
L100001,699,41400.0,14.8,7500.0,36,2.5,2,5,52.6,RENT,credit_card,West,2022,0,C (Prime),0.5414,Moderate
L100002,662,48400.0,2.6,24800.0,60,3.8,0,4,38.6,MORTGAGE,debt_consolidation,South,2025,0,C (Prime),0.4856,Moderate
L100003,622,57400.0,14.5,15300.0,60,3.3,1,8,15.6,MORTGAGE,credit_card,South,2023,1,D (Near-Prime),0.5295,Moderate
L100004,650,56500.0,22.6,7500.0,60,3.5,1,10,39.0,MORTGAGE,other,Northeast,2023,0,D (Near-Prime),0.5859,High
L100005,616,50300.0,17.9,8400.0,60,7.9,0,11,80.8,RENT,debt_consolidation,South,2025,1,D (Near-Prime),0.7043,Severe
L100006,684,74900.0,20.9,3500.0,60,5.0,0,3,21.6,RENT,medical,South,2024,0,C (Prime),0.4495,Low
L100007,767,97100.0,28.7,7700.0,60,14.7,0,12,14.8,RENT,medical,Northeast,2023,0,A (Super-Prime),0.2849,Low
L100008,648,82400.0,13.7,7400.0,36,7.7,0,13,10.9,OWN,credit_card,Midwest,2024,0,D (Near-Prime),0.3723,Low
L100009,640,42700.0,8.0,13600.0,36,10.4,0,11,31.9,RENT,debt_consolidation,South,2024,0,D (Near-Prime),0.5086,Moderate
L100010,712,21800.0,5.0,12800.0,36,1.0,0,8,64.6,MORTGAGE,auto,South,2024,1,B (Prime+),0.5147,Moderate
L100011,703,57100.0,9.4,7800.0,60,1.4,0,8,5.2,OWN,debt_consolidation,South,2024,0,B (Prime+),0.3784,Low
L100012,687,15000.0,12.4,25500.0,60,3.6,0,8,59.0,RENT,debt_consolidation,South,2022,0,C (Prime),0.6065,High
L100013,620,75200.0,18.1,10300.0,36,2.8,0,3,26.9,MORTGAGE,debt_consolidation,West,2024,1,D (Near-Prime),0.5223,Moderate
L100014,678,73300.0,19.4,24800.0,36,4.0,1,9,59.5,MORTGAGE,debt_consolidation,Midwest,2024,0,C (Prime),0.557,High
L100015,725,29800.0,11.1,5300.0,36,1.9,3,11,48.9,MORTGAGE,medical,West,2023,0,B (Prime+),0.5599,High
L100016,593,71900.0,15.3,11400.0,60,7.3,0,8,12.9,MORTGAGE,other,Northeast,2022,0,D (Near-Prime),0.4818,Moderate
L100017,650,39100.0,18.0,12200.0,36,4.1,0,10,9.6,MORTGAGE,credit_card,South,2024,0,D (Near-Prime),0.505,Moderate
L100018,556,100500.0,5.5,7900.0,36,0.3,0,5,40.3,RENT,credit_card,West,2023,1,E (Subprime),0.5339,Moderate
L100019,596,37200.0,9.4,2800.0,60,2.7,0,13,34.2,MORTGAGE,auto,South,2024,1,D (Near-Prime),0.6056,High
L100020,560,36000.0,2.6,6200.0,36,2.5,0,6,26.7,RENT,debt_consolidation,Midwest,2024,1,E (Subprime),0.6103,High
L100021,665,39300.0,26.9,14600.0,60,2.2,1,8,5.6,RENT,credit_card,South,2023,1,C (Prime),0.5653,High
L100022,598,60800.0,22.0,3400.0,60,2.5,0,9,22.8,MORTGAGE,small_business,West,2022,0,D (Near-Prime),0.5838,High
L100023,698,32500.0,20.0,7400.0,36,1.0,0,15,41.4,MORTGAGE,debt_consolidation,West,2023,1,C (Prime),0.5639,High
L100024,690,163200.0,13.7,7400.0,60,1.8,0,8,54.5,RENT,debt_consolidation,Midwest,2023,0,C (Prime),0.3302,Low
L100025,668,45100.0,6.5,4100.0,36,0.8,1,7,33.2,MORTGAGE,credit_card,South,2024,1,C (Prime),0.4947,Moderate
L100026,516,127600.0,11.5,5200.0,60,1.3,0,7,63.4,RENT,debt_consolidation,Midwest,2022,0,E (Subprime),0.6302,High
L100027,645,47100.0,22.1,8500.0,36,2.5,1,5,52.8,OWN,medical,South,2025,0,D (Near-Prime),0.6591,Severe
L100028,677,46300.0,19.8,5200.0,36,29.4,0,10,50.5,MORTGAGE,home_improvement,South,2024,0,C (Prime),0.408,Low
L100029,687,38200.0,4.9,9900.0,36,7.6,2,12,74.8,OWN,medical,South,2023,1,C (Prime),0.5724,High
L100030,581,37300.0,5.5,7100.0,36,2.5,0,10,10.4,MORTGAGE,home_improvement,Midwest,2023,0,D (Near-Prime),0.547,Moderate
