transaction_date,amount,merchant_category,is_flagged
2026-08-08,13.59,electronics,0
2026-08-08,67.49,Dining,0
2026-08-08,90.04,utilities,0
2026-08-08,N/A,GROCERY,0
2026-08-08,162.95,entertainment,0
2026-08-08,202.68,utilities,0
2026-08-08,293.64,Dining,0
2026-08-08,174.69,Travel,0
2026-08-08,158.62,Dining,0
2026-08-08,92.1,grocery,0
2026-08-08,121.57,entertainment,0
2026-08-08,153.24,travel ,1
2026-08-08,99.78,electronics,0
2026-08-08,97.32,Dining,0
2026-08-08,75.57,Dining,1
2026-08-08,28.3,Dining,0
2026-08-08,316.81,Travel,0
2026-08-08,28.12,entertainment,0
2026-08-08,77.87,Dining,0
2026-08-08,172.12,grocery,0
2026-08-08,160.75,entertainment,0
2026-08-08,119.14,utilities,0
2026-08-08,30.97,electronics,0
2026-08-08,65.11,Dining,0
2026-08-08,55.11,entertainment,0
2026-08-08,130.24,travel ,0
2026-08-08,124.71,Dining,0
2026-08-08,24.78,Travel,0
2026-08-08,244.68,electronics,0
2026-08-08,136.53,dining,0
2026-08-08,65.02,travel ,1
2026-08-08,102.71,grocery,0
2026-08-08,134.01,grocery,0
2026-08-08,68.42,electronics,0
2026-08-08,38.01,utilities,0
2026-08-08,85.77,utilities,0
2026-08-08,49.27,dining,0
2026-08-08,505.01,utilities,0
2026-08-08,34.27,Travel,0
2026-08-08,43.26,dining,0
2026-08-08,148.17,Dining,0
2026-08-08,400.39,grocery,1
2026-08-08,57.37,utilities,0
2026-08-08,282.52,Dining,0
2026-08-08,55.35,Dining,0
2026-08-08,96.97,travel ,0
2026-08-08,187.71,entertainment,0
2026-08-08,27.31,Travel,0
2026-08-08,118.29,Travel,0
2026-08-08,40.87,GROCERY,0
2026-08-08,53.58,grocery,0
2026-08-08,190.78,electronics,0
2026-08-08,88.76,utilities,0
2026-08-08,149.62,electronics,0
2026-08-08,81.0,dining,0
2026-08-08,68.17,GROCERY,0
2026-08-08,185.63,utilities,1
2026-08-08,229.34,dining,0
2026-08-08,280.63,travel ,0
2026-08-08,232.51,dining,0
2026-08-08,64.17,grocery,0
2026-08-08,377.87,entertainment,0
2026-08-08,75.53,travel ,0
2026-08-08,47.63,Dining,0
2026-08-08,75.88,utilities,0
2026-08-08,20.82,utilities,0
2026-08-08,236.83,entertainment,0
2026-08-08,46.74,entertainment,0
2026-08-08,174.98,electronics,0
2026-08-08,27.95,Dining,0
2026-08-08,40.42,GROCERY,0
2026-08-08,95.78,grocery,0
2026-08-08,29.46,Dining,0
2026-08-08,260.31,grocery,0
2026-08-08,233.39,grocery,0
2026-08-08,118.63,electronics,1
2026-08-08,46.29,Travel,0
2026-08-08,57.49,entertainment,0
2026-08-08,391.78,entertainment,0
2026-08-08,23.37,travel ,0
2026-08-08,121.11,Travel,0
2026-08-08,153.4,electronics,0
2026-08-08,37.24,Dining,0
2026-08-08,78.86,utilities,0
2026-08-08,116.3,Travel,0
2026-08-08,94.58,entertainment,0
2026-08-08,151.43,travel ,0
2026-08-08,386.94,grocery,0
2026-08-08,54.51,grocery,0
2026-08-08,105.91,Dining,0
2026-08-08,120.96,entertainment,0
2026-08-08,120.94,entertainment,0
2026-08-08,114.18,GROCERY,0
2026-08-08,138.19,Travel,0
2026-08-08,127.18,GROCERY,0
2026-08-08,128.53,dining,0
2026-08-08,123.25,grocery,0
2026-08-08,249.46,Dining,1
2026-08-08,44.27,Travel,0
2026-08-08,30.9,dining,0
2026-08-08,89.58,electronics,1
2026-08-08,216.99,dining,0
2026-08-08,13.96,utilities,0
2026-08-08,11.59,travel ,0
2026-08-08,24.08,travel ,0
2026-08-08,69.98,electronics,0
2026-08-08,166.76,entertainment,0
2026-08-08,182.73,dining,0
2026-08-08,97.76,Dining,0
2026-08-08,55.05,utilities,0
2026-08-08,180.74,electronics,0
2026-08-08,122.66,grocery,0
2026-08-08,55.93,grocery,0
2026-08-08,117.67,dining,0
2026-08-08,146.3,travel ,0
2026-08-08,118.36,electronics,0
2026-08-08,43.87,GROCERY,0
2026-08-08,47.86,Travel,0
2026-08-08,251.69,Dining,0
2026-08-08,179.28,grocery,0
2026-08-08,57.05,dining,0
2026-08-08,105.04,utilities,0
2026-08-08,185.02,entertainment,0
2026-08-08,293.28,grocery,0
2026-08-08,45.53,GROCERY,0
2026-08-08,127.99,GROCERY,0
2026-08-08,76.53,travel ,0
2026-08-08,474.53,Dining,0
2026-08-08,190.53,travel ,0
2026-08-08,186.17,GROCERY,0
2026-08-08,117.06,travel ,0
2026-08-08,93.54,Dining,0
2026-08-08,335.97,Dining,0
2026-08-08,177.01,grocery,0
2026-08-08,73.14,Dining,0
2026-08-08,149.99,utilities,0
2026-08-08,71.64,utilities,0
2026-08-08,77.68,entertainment,0
